DateTime,Ask,Bid,Ask Volume,Bid Volume
15.09.2023 09:06:06.387,1.06655,1.06652,0,0
15.09.2023 09:06:06.740,1.06654,1.06652,0,0
15.09.2023 09:06:09.585,1.06655,1.06652,0,0
15.09.2023 09:06:09.688,1.06654,1.06652,0,0
15.09.2023 09:06:09.791,1.06655,1.06652,0,0
15.09.2023 09:06:10.803,1.06654,1.06652,0,0
15.09.2023 09:06:10.906,1.06655,1.06652,0,0
15.09.2023 09:06:11.513,1.06654,1.06652,0,0
15.09.2023 09:06:11.771,1.06655,1.06652,0,0
15.09.2023 09:06:15.376,1.06656,1.06652,0,0
15.09.2023 09:06:15.479,1.06656,1.06653,0,0
15.09.2023 09:06:15.583,1.06657,1.06654,0,0
15.09.2023 09:06:16.146,1.06656,1.06654,0,0
15.09.2023 09:06:16.460,1.06656,1.06653,0,0
15.09.2023 09:06:16.621,1.06655,1.06653,0,0
15.09.2023 09:06:16.724,1.06655,1.06652,0,0
15.09.2023 09:06:17.753,1.06654,1.06652,0,0
15.09.2023 09:06:17.979,1.06655,1.06652,0,0
15.09.2023 09:06:21.082,1.06654,1.06652,0,0
15.09.2023 09:06:21.186,1.06655,1.06652,0,0
15.09.2023 09:06:21.652,1.06654,1.06652,0,0
15.09.2023 09:06:21.805,1.06655,1.06652,0,0
15.09.2023 09:06:22.240,1.06654,1.06652,0,0
15.09.2023 09:06:23.884,1.06655,1.06652,0,0
15.09.2023 09:06:23.987,1.06656,1.06653,0,0
15.09.2023 09:06:24.579,1.06655,1.06653,0,0
15.09.2023 09:06:25.483,1.06654,1.06652,0,0
15.09.2023 09:06:28.359,1.06655,1.06653,0,0
15.09.2023 09:06:35.074,1.06656,1.06654,0,0
15.09.2023 09:06:36.725,1.06655,1.06653,0,0
15.09.2023 09:06:36.838,1.06655,1.06652,0,0
15.09.2023 09:06:36.953,1.06655,1.06653,0,0
15.09.2023 09:06:40.718,1.06656,1.06653,0,0
15.09.2023 09:06:48.782,1.06656,1.06654,0,0
15.09.2023 09:06:48.987,1.06657,1.06655,0,0
15.09.2023 09:06:49.402,1.06657,1.06656,0,0
15.09.2023 09:06:49.506,1.06659,1.06657,0,0
15.09.2023 09:06:58.899,1.06658,1.06656,0,0
15.09.2023 09:07:02.541,1.0666,1.06657,0,0
15.09.2023 09:07:02.645,1.06661,1.06658,0,0
15.09.2023 09:07:04.948,1.0666,1.06658,0,0
15.09.2023 09:07:05.051,1.0666,1.06657,0,0
15.09.2023 09:07:08.989,1.0666,1.06658,0,0
15.09.2023 09:07:09.092,1.06662,1.06659,0,0
15.09.2023 09:07:14.795,1.06663,1.0666,0,0
15.09.2023 09:07:14.950,1.06664,1.06662,0,0
15.09.2023 09:07:21.294,1.06665,1.06662,0,0
15.09.2023 09:07:21.397,1.06662,1.06661,0,0
15.09.2023 09:07:21.450,1.06661,1.06659,0,0
15.09.2023 09:07:22.253,1.06661,1.06658,0,0
15.09.2023 09:07:24.283,1.0666,1.06657,0,0
15.09.2023 09:07:24.490,1.06661,1.06657,0,0
15.09.2023 09:07:26.756,1.0666,1.06657,0,0
15.09.2023 09:07:26.859,1.06659,1.06657,0,0
15.09.2023 09:07:26.911,1.06657,1.06655,0,0
15.09.2023 09:07:27.015,1.06657,1.06654,0,0
15.09.2023 09:07:27.748,1.06658,1.06656,0,0
15.09.2023 09:07:27.851,1.06659,1.06657,0,0
15.09.2023 09:07:27.954,1.0666,1.06657,0,0
15.09.2023 09:07:28.314,1.06659,1.06657,0,0
15.09.2023 09:07:32.899,1.0666,1.06657,0,0
15.09.2023 09:07:34.306,1.06659,1.06657,0,0
15.09.2023 09:07:34.460,1.0666,1.06657,0,0
15.09.2023 09:07:34.677,1.06659,1.06657,0,0
15.09.2023 09:07:34.918,1.0666,1.06657,0,0
15.09.2023 09:07:37.021,1.06659,1.06657,0,0
15.09.2023 09:07:37.320,1.06657,1.06655,0,0
15.09.2023 09:07:37.423,1.06656,1.06653,0,0
15.09.2023 09:07:50.550,1.06655,1.06652,0,0
15.09.2023 09:07:50.705,1.06654,1.06652,0,0
15.09.2023 09:07:51.614,1.06655,1.06652,0,0
15.09.2023 09:07:57.769,1.06654,1.06652,0,0
15.09.2023 09:07:58.780,1.06655,1.06652,0,0
15.09.2023 09:07:59.107,1.06654,1.06652,0,0
15.09.2023 09:07:59.339,1.06655,1.06652,0,0
15.09.2023 09:08:07.367,1.06657,1.06656,0,0
15.09.2023 09:08:07.470,1.06658,1.06656,0,0
15.09.2023 09:08:07.910,1.06656,1.06655,0,0
15.09.2023 09:08:08.029,1.06656,1.06654,0,0
15.09.2023 09:08:12.184,1.06657,1.06655,0,0
15.09.2023 09:08:14.139,1.06659,1.06656,0,0
15.09.2023 09:08:14.242,1.06658,1.06656,0,0
15.09.2023 09:08:19.316,1.06656,1.06655,0,0
15.09.2023 09:08:19.368,1.06656,1.06653,0,0
15.09.2023 09:08:19.725,1.06656,1.06654,0,0
15.09.2023 09:08:19.879,1.06657,1.06654,0,0
15.09.2023 09:08:25.136,1.06659,1.06656,0,0
15.09.2023 09:08:25.829,1.06658,1.06655,0,0
15.09.2023 09:08:27.567,1.06658,1.06654,0,0
15.09.2023 09:08:30.921,1.06658,1.06656,0,0
15.09.2023 09:08:32.639,1.06656,1.06655,0,0
15.09.2023 09:08:32.744,1.06655,1.06654,0,0
15.09.2023 09:08:32.796,1.06654,1.06652,0,0
15.09.2023 09:08:32.950,1.06655,1.06652,0,0
15.09.2023 09:08:37.203,1.06654,1.06652,0,0
15.09.2023 09:08:40.706,1.06655,1.06653,0,0
15.09.2023 09:08:42.179,1.06651,1.06649,0,0
15.09.2023 09:08:44.664,1.06652,1.06649,0,0
